episode,total_reward
1,158.604358
2,78.83282264
3,187.3566533
4,56.08798421
5,49.83680998
6,139.4615415
7,239.3415102
8,153.3525453
9,206.6492467
10,-74.16999167
11,193.4846314
12,163.2586808
13,279.9613303
14,157.4417589
15,142.0599287
16,194.2982398
17,140.2803862
18,207.9237199
19,161.09415
20,201.8294089
21,242.7023384
22,112.0307705
23,166.2047199
24,212.7056419
25,245.1925441
26,194.687525
27,148.0025455
28,200.59564
29,172.4695697
30,175.4805791
31,815.2014136
32,881.4259924
33,882.1518232
34,901.5203932
35,914.1817076
36,854.331529
37,903.3563188
38,1048.125003
39,1101.515879
40,1085.29726
41,1082.324705
42,1111.236665
43,1178.856956
44,1071.717577
45,1119.713021
46,1051.746201
47,915.4057844
48,884.3901696
49,1092.747365
50,983.6453751
51,1089.974796
52,941.8552061
53,1152.936919
54,1119.743239
55,1059.894302
56,1059.745878
57,1101.328287
58,1041.827692
59,1114.239478
60,1066.01503
61,1071.589181
62,1071.578769
63,976.9942194
64,1143.191085
65,1109.418956
66,1078.817294
67,1150.479914
68,1142.776538
69,1112.776232
70,1065.70221
71,1109.325805
72,1034.192753
73,1020.489924
74,1140.685822
75,1067.755938
76,1109.968249
77,1172.629573
78,1047.927293
79,1128.465457
80,1082.888456
81,1054.564673
82,1085.907659
83,1098.97892
84,1034.634551
85,1123.301826
86,1135.670389
87,1157.225972
88,1114.358081
89,1047.54992
90,1130.897849
91,1056.30728
92,1040.211824
93,993.0487635
94,1139.023765
95,973.1440432
96,1089.33014
97,1094.424401
98,1005.992664
99,1138.303838
100,1061.979277
101,879.8365879
102,828.9088016
103,781.6420607
104,719.1429502
105,804.987048
106,869.0345329
107,885.5608247
108,877.9753899
109,962.434844
110,916.9191315
111,892.6594116
112,898.8207376
113,892.575762
114,960.0134594
115,899.7728112
116,854.3885209
117,849.7927966
118,933.3656325
119,932.1192148
120,890.2461406
121,921.2747379
122,863.0448959
123,804.0350028
124,893.325704
125,845.6987367
126,925.2938353
127,969.9612363
128,901.5685927
129,844.8316504
130,923.9134728
131,883.3124795
132,781.8215589
133,841.2138277
134,931.3910756
135,818.4467909
136,863.1876052
137,893.9615001
138,927.0458921
139,1018.520507
140,887.176333
141,1047.997323
142,950.705237
143,1016.555538
144,1106.819415
145,1082.825571
146,1142.435754
147,959.206542
148,1072.62427
149,1088.164228
150,1095.079807
151,1077.662504
152,1076.325184
153,1077.246211
154,1090.262299
155,1114.480308
156,1134.473797
157,926.9094033
158,1065.81918
159,910.3786228
160,1084.121767
161,1052.055606
162,1093.880558
163,1023.57203
164,962.9319294
165,1068.396123
166,1104.461675
167,1115.385342
168,1024.561136
169,1128.036484
170,930.1334989
171,1019.436596
172,1095.118435
173,999.0652309
174,1113.701351
175,1029.772387
176,1084.469013
177,1050.341153
178,698.8845639
179,1081.25861
180,654.7346589
181,1330.983162
182,1802.000855
183,790.6260529
184,1691.902559
185,1789.517605
186,1640.462954
187,1490.454244
188,1609.02753
189,1901.235525
190,1412.652135
191,1739.776097
192,1224.650992
193,1410.600517
194,1310.640398
195,1237.90872
196,1143.18914
197,1077.329798
198,1146.197677
199,1093.51272
200,1061.802741
201,1022.583784
202,1010.41483
203,1058.60887
204,1037.386783
205,1175.699308
206,1205.373214
207,1126.467868
208,1155.8667
209,1122.101008
210,1068.601906
211,1167.377165
212,1094.471807
213,1138.93371
214,987.943944
215,1078.474017
216,1089.145585
217,1163.005146
218,1102.277201
219,1089.89748
220,1033.361666
221,989.4691292
222,1044.768554
223,1089.531994
224,1047.775196
225,1128.986407
226,1039.848358
227,1061.555998
228,1129.840434
229,1142.1823
230,1116.592726
231,1097.423466
232,1097.613673
233,1063.039554
234,1143.177773
235,1120.866351
236,1109.102361
237,913.2132528
238,1197.417568
239,1061.886915
240,1099.324753
241,1087.230238
242,1054.402924
243,971.0599211
244,898.5809123
245,939.8929703
246,1064.15067
247,1062.216197
248,939.9479228
249,1036.623222
250,1027.737666
251,1032.32612
252,1006.983305
253,941.0648728
254,1012.127404
255,903.5905919
256,944.2998286
257,944.675099
258,838.7076884
259,983.5961299
260,909.829027
261,941.2609791
262,842.8727173
263,911.4218995
264,1004.102153
265,999.6193023
266,918.0425316
267,1032.560445
268,807.0089096
269,890.1429362
270,908.5986335
271,934.5925529
272,922.0288159
273,927.2571154
274,946.0070544
275,828.887543
276,842.1579227
277,922.6964764
278,988.5358939
279,793.6863112
280,946.0195579
281,876.9390374
282,936.5679578
283,924.6320766
284,878.7079478
285,894.5077799
286,917.8710879
287,946.0170278
288,1032.542392
289,941.7541512
290,934.0871195
291,908.7750182
292,979.2095968
293,920.6503318
294,947.0304024
295,1043.510077
296,912.9135827
297,898.5416052
298,989.412652
299,1012.613943
300,939.9615338
301,1010.418671
302,915.8814006
303,894.4781289
304,976.1631214
305,1072.80381
306,869.6757565
307,901.5637545
308,911.939971
309,944.041716
310,1035.822266
311,905.1560886
312,951.7329389
313,923.0690474
314,879.5546412
315,863.450359
316,965.7935544
317,934.2751436
318,796.3374343
319,907.8195433
320,962.9698922
321,817.6182657
322,949.8751254
323,1048.555424
324,1008.429443
325,1035.73891
326,875.7515726
327,955.5946503
328,832.7500366
329,913.0646633
330,877.7933748
331,972.0172156
332,967.9120288
333,986.2624719
334,1013.56337
335,931.144432
336,926.2900006
337,1111.020127
338,931.4881242
339,1043.503264
340,1092.781725
341,1028.00231
342,928.0986883
343,926.3366502
344,995.1100877
345,1014.806781
346,941.6706565
347,869.2771584
348,920.0334499
349,891.3738807
350,929.1729602
351,941.7706018
352,1013.598294
353,1058.000976
354,979.7006677
355,1082.205181
356,883.753712
357,843.7478293
358,839.2260379
359,927.9853698
360,976.4735825
361,1003.055432
362,998.6055889
363,1096.473752
364,1019.489557
365,991.8591992
366,944.7754774
367,980.1042123
368,868.3439227
369,912.1990364
370,870.5601319
371,900.0105892
372,769.5757886
373,974.3831906
374,1020.41951
375,953.7088878
376,847.6211943
377,931.4306685
378,801.2710461
379,874.9378996
380,1051.982374
381,951.0159971
382,1064.024488
383,998.3553836
384,1065.541449
385,1047.22743
386,902.0169382
387,1028.261198
388,988.8446867
389,1073.678301
390,932.584158
391,975.4863295
392,921.8259702
393,850.7045044
394,823.7145794
395,890.2670349
396,877.1878352
397,949.5204978
398,936.458129
399,938.6181731
400,978.679973
401,1036.754066
402,826.7363488
403,925.6621043
404,863.8265734
405,985.2701861
406,971.2002178
407,831.1256935
408,927.28761
409,838.371076
410,915.7342171
411,907.7029077
412,1034.92069
413,820.5270436
414,960.7577869
415,922.2610169
416,725.6283649
417,734.5555169
418,1039.899325
419,911.7216756
420,904.8828777
421,901.8039783
422,1007.678654
423,838.7725891
424,882.9902471
425,859.905202
426,843.7622413
427,916.5881751
428,894.0168763
429,964.646924
430,1052.30933
431,729.2462952
432,920.1841863
433,870.6637597
434,839.2392507
435,960.0397525
436,981.7878614
437,931.7468742
438,916.7058255
439,916.3887841
440,920.9938726
441,850.907477
442,846.4939356
443,962.0343383
444,941.0303188
445,943.3630432
446,1024.017066
447,886.6382629
448,982.0722017
449,1087.101633
450,987.1674691
451,870.420306
452,1003.228012
453,868.0652086
454,1046.556674
455,1022.9808
456,925.8329374
457,771.0032896
458,838.4241837
459,858.9553732
460,1048.001124
461,859.128078
462,895.7188914
463,857.045893
464,925.8340127
465,947.0325709
466,883.6581255
467,990.0015234
468,914.5702362
469,800.6709381
470,990.4467552
471,1024.940474
472,995.6292749
473,1085.822205
474,899.9038766
475,961.0783646
476,900.788568
477,913.5598202
478,957.8638165
479,1022.870477
480,1121.221322
481,986.2812639
482,945.9552418
483,909.8231586
484,925.4391733
485,994.7015141
486,789.6693104
487,929.0447885
488,843.7655128
489,872.3710177
490,796.3761366
491,782.8768223
492,883.468437
493,856.2452213
494,1006.277114
495,897.6465698
496,855.8266092
497,1141.837389
498,1001.868016
499,851.4476747
500,894.9219898
501,797.7599259
502,733.8850414
503,853.0979914
504,932.0107049
505,1013.976944
506,915.2621329
507,947.0663611
508,908.1046118
509,933.0579681
510,903.5273504
511,1028.071387
512,873.7030523
513,986.6216796
514,886.3325023
515,930.8660908
516,1049.278426
517,976.9610042
518,921.0311686
519,843.2948336
520,975.4569272
521,975.2401634
522,879.5047905
523,1021.568826
524,1031.02973
525,874.1388301
526,1048.930744
527,1044.750907
528,921.4908793
529,890.9208573
530,919.4858338
531,879.4311065
532,957.5271442
533,944.1309799
534,860.5384428
535,881.8646551
536,927.5768817
537,913.00361
538,878.0399567
539,1048.113211
540,910.3461941
541,1030.058957
542,1059.28786
543,855.7212187
544,1100.587398
545,929.4933718
546,973.1503702
547,1038.820213
548,1099.224434
549,816.7317456
550,905.2942901
551,1081.003667
552,878.9326814
553,915.0145378
554,871.0201068
555,871.8590759
556,1020.367777
557,991.0181109
558,1003.082416
559,1025.109472
560,1020.654341
561,1055.099549
562,917.0971428
563,831.2559773
564,920.7641962
565,947.6685419
566,914.7034546
567,911.9188805
568,911.4631401
569,961.9195109
570,1019.974078
571,909.4395569
572,963.0562578
573,996.5413138
574,820.2663507
575,955.8952337
576,858.1823089
577,918.3488636
578,1047.376731
579,965.1032546
580,848.8668095
581,847.4346429
582,914.0709501
583,935.9135929
584,953.06908
585,830.7378876
586,847.3262535
587,895.3650198
588,904.8503488
589,957.6355408
590,915.5299082
591,855.2214878
592,776.2889264
593,894.3219604
594,823.8407554
595,813.1177413
596,938.9097103
597,781.6017771
598,905.0971912
599,1073.621227
600,842.8076347
601,933.0448276
602,845.051413
603,871.2130994
604,920.7265735
605,924.7865597
606,884.2657898
607,918.2632146
608,815.4012044
609,931.5963005
610,950.875854
611,799.0069729
612,839.212404
613,849.8362706
614,895.5113425
615,927.3088407
616,940.4122569
617,910.1310876
618,932.4136257
619,915.0042194
620,926.2060745
621,993.7575227
622,803.3328244
623,895.9312274
624,809.0649037
625,827.6821535
626,953.1968746
627,802.2285978
628,919.4433942
629,860.6467401
630,866.943589
631,790.8446732
632,862.1311031
633,787.1778108
634,801.0144429
635,882.9374823
636,852.2010061
637,924.2243427
638,823.9529516
639,896.8478369
640,842.6906298
641,914.9630873
642,995.6226408
643,1041.473124
644,902.4612054
645,800.179522
646,905.7661286
647,762.7749734
648,912.4285159
649,938.3092983
650,900.7251785
651,940.1630755
652,897.4885154
653,912.3947794
654,908.257772
655,923.1052385
656,813.8925931
657,902.5153063
658,838.1800126
659,927.3099549
660,975.5242878
661,939.2185641
662,855.6836836
663,911.9949844
664,953.3805361
665,914.4163156
666,900.2594024
667,839.3304246
668,960.9607772
669,863.2331312
670,944.1865362
671,922.9931744
672,907.4147883
673,816.734534
674,805.074182
675,865.0521179
676,894.3488952
677,921.4282768
678,952.280663
679,915.1225033
680,860.8919892
681,819.0699952
682,917.5478203
683,947.6113432
684,912.7710017
685,927.0329685
686,845.4303289
687,928.1471887
688,931.0174278
689,929.4887273
690,871.9507501
691,1006.769832
692,913.7132533
693,864.4204211
694,1081.688061
695,949.5037948
696,919.351284
697,892.2580673
698,811.5722297
699,885.8975922
700,766.1476712
701,933.6485507
702,923.6780225
703,892.8273123
704,883.4943868
705,903.3075383
706,924.3529196
707,900.0219558
708,944.1770943
709,831.3695932
710,895.708989
711,891.033051
712,878.327262
713,872.2126452
714,970.4665994
715,911.3002833
716,862.086276
717,896.237688
718,945.0327232
719,946.722443
720,881.9008141
721,913.8796839
722,792.1435413
723,890.013441
724,922.8813191
725,985.531353
726,951.8630042
727,872.2689396
728,841.4194035
729,1022.66944
730,975.3023391
731,1020.777087
732,928.1466686
733,761.3489935
734,800.5569318
735,956.4833159
736,898.6218695
737,948.411903
738,945.5794211
739,934.8390336
740,982.0691704
741,824.9004593
742,856.6164359
743,878.871039
744,1054.3964
745,887.518179
746,873.1367238
747,871.148842
748,896.9738963
749,862.077377
750,897.7371306
751,841.6251884
752,947.2600021
753,908.0347664
754,913.0454092
755,836.1990186
756,908.079164
757,954.4063861
758,938.9567725
759,900.3320277
760,883.5433643
761,894.6416458
762,806.3247492
763,874.7120575
764,820.3951709
765,938.9076593
766,896.7234769
767,865.3971104
768,821.9152321
769,860.2960781
770,872.4167281
771,887.9918512
772,913.3830968
773,862.5803752
774,780.5074641
775,918.5858558
776,825.7463929
777,1011.366329
778,891.0885401
779,911.9716658
780,1020.922193
781,779.391273
782,891.4041277
783,900.1584789
784,917.909012
785,1077.672062
786,875.2922298
787,937.6173125
788,951.3719097
789,902.5510545
790,850.6289459
791,990.6787589
792,947.1390992
793,874.1576193
794,937.5215805
795,925.896007
796,878.5423594
797,1030.620236
798,959.003217
799,904.5261182
800,865.4754093
801,918.8498904
802,848.1502965
803,907.0116171
804,893.5665241
805,905.2576341
806,916.6445935
807,963.9848442
808,996.1305265
809,968.6242588
810,920.6444439
811,917.3271614
812,1022.630382
813,966.9619847
814,1142.341479
815,986.2979431
816,1083.344267
817,1133.705611
818,1094.732135
819,1084.137985
820,959.9024144
821,892.3172269
822,988.0443106
823,1048.061322
824,869.3796451
825,892.5906399
826,972.0935376
827,893.2877496
828,883.2172124
829,977.7593265
830,949.0212834
831,910.92708
832,963.8368298
833,894.2742182
834,929.2497766
835,827.0172478
836,840.7314701
837,868.4283859
838,940.2949371
839,939.6074925
840,915.2765883
841,888.8698604
842,872.6545377
843,884.1645013
844,996.3061625
845,870.8871468
846,764.0760649
847,885.0392691
848,943.0039612
849,1087.526178
850,934.6049965
851,913.3797678
852,905.1438627
853,902.339187
854,904.9955225
855,870.5213341
856,913.2547038
857,908.8194756
858,950.297293
859,901.8098367
860,917.1059429
861,903.4605394
862,1017.695171
863,1140.959212
864,873.9897165
865,879.5444206
866,936.2982453
867,907.6132252
868,838.8327052
869,956.2522798
870,811.1093388
871,859.8864148
872,900.5834445
873,978.1654029
874,977.5503368
875,952.1157993
876,1102.018872
877,772.4648988
878,942.8791988
879,856.476458
880,1107.014997
881,1018.52098
882,811.261799
883,893.9683044
884,917.6048716
885,889.0055585
886,993.214075
887,878.2319162
888,917.5403512
889,917.2530571
890,888.077146
891,1031.143341
892,907.5135988
